filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1003_ch_872_strand.fast5	aa7dafeb-2354-42cb-996c-5c6e59f4d8ad	f92717327e20661b488f6bebe7463e7dfa7490be	872	1768.275	1.90975	1527	True	0.0	1527	1.90975	1527	996	9.786	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1102_ch_1272_strand.fast5	c1834003-489c-4787-bbcb-0fae6e5ac2e2	f92717327e20661b488f6bebe7463e7dfa7490be	1272	1768.32175	1.71325	1356	True	0.01775	1356	1.6955	1356	1067	9.596	-0.0007
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_3556_ch_1321_strand.fast5	d3816770-40d8-47e6-87e8-2953bbfb7fc6	f92717327e20661b488f6bebe7463e7dfa7490be	1321	1720.9995	7.04875	5601	True	0.047	5601	7.00175	5601	4459	10.748	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_691_ch_1326_strand.fast5	d48db217-082b-40f6-a0de-476d17d8e8d3	f92717327e20661b488f6bebe7463e7dfa7490be	1326	1698.9925	2.07	1632	True	0.03	1632	2.04	1632	1248	13.284	-0.001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_842_ch_919_strand.fast5	d531c89e-6fb9-4217-a5af-35aa3154afdd	f92717327e20661b488f6bebe7463e7dfa7490be	919	1696.08075	2.31575	1839	True	0.01675	1839	2.299	1839	1480	8.6	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1307_ch_463_strand.fast5	f6f8fd4d-3258-46d1-81fe-81b65be11b72	f92717327e20661b488f6bebe7463e7dfa7490be	463	1752.2005	1.953	1480	True	0.10275	1480	1.85025	1480	1110	10.051	-0.0009
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_474_ch_2008_strand.fast5	1d4cde32-dd08-4917-9ccb-ab4031c8957c	f92717327e20661b488f6bebe7463e7dfa7490be	2008	1763.55825	1.50425	1175	True	0.035	1175	1.46925	1175	855	10.623	-0.0011
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_824_ch_562_strand.fast5	25c4bbdb-67a0-4ee7-a9a1-143f14bdcc63	f92717327e20661b488f6bebe7463e7dfa7490be	562	1698.6615	4.51775	3554	True	0.07425	3554	4.4435	3554	2433	12.667	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1548_ch_1445_strand.fast5	2ff423d5-2507-451e-8e22-ec46623c7619	f92717327e20661b488f6bebe7463e7dfa7490be	1445	1754.433	5.67975	4448	True	0.11925	4448	5.5605	4448	3187	10.568	-0.0001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_864_ch_919_strand.fast5	318e53fe-38ae-44cf-b41d-391ea07051d4	f92717327e20661b488f6bebe7463e7dfa7490be	919	1750.618	3.93175	3129	True	0.0195	3129	3.91225	3129	2220	10.628	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_909_ch_631_strand.fast5	4f4da4a5-1aff-480e-81bf-9f59b5b85b87	f92717327e20661b488f6bebe7463e7dfa7490be	631	1706.04325	4.12525	3111	True	0.236	3111	3.88925	3111	2237	10.875	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1055_ch_2215_strand.fast5	569980c5-8497-4970-8517-f87ce481fe61	f92717327e20661b488f6bebe7463e7dfa7490be	2215	1745.30475	1.099	862	True	0.021	862	1.078	862	636	9.365	-0.0012
